country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CO,Colombia,Bogota,,,CO-DC,,15/02/2020,9,9,11,3,9,-1
CO,Colombia,Bogota,,,CO-DC,,16/02/2020,3,8,11,2,3,1
CO,Colombia,Bogota,,,CO-DC,,17/02/2020,1,5,3,6,16,-2
CO,Colombia,Bogota,,,CO-DC,,18/02/2020,0,6,5,13,20,-2
CO,Colombia,Bogota,,,CO-DC,,19/02/2020,-5,-2,1,8,13,-2
CO,Colombia,Bogota,,,CO-DC,,20/02/2020,-4,-3,-4,0,8,-1
CO,Colombia,Bogota,,,CO-DC,,21/02/2020,-2,1,3,12,15,-1
CO,Colombia,Bogota,,,CO-DC,,22/02/2020,-1,-1,2,3,7,0
CO,Colombia,Bogota,,,CO-DC,,23/02/2020,-12,-8,-16,-7,-2,3
CO,Colombia,Bogota,,,CO-DC,,24/02/2020,-4,-1,-2,11,16,-1
CO,Colombia,Bogota,,,CO-DC,,25/02/2020,-4,1,-2,15,20,-1
CO,Colombia,Bogota,,,CO-DC,,26/02/2020,-4,0,1,13,13,-2
CO,Colombia,Bogota,,,CO-DC,,27/02/2020,-2,0,-2,6,13,-3
CO,Colombia,Bogota,,,CO-DC,,28/02/2020,7,10,8,14,20,-3
CO,Colombia,Bogota,,,CO-DC,,29/02/2020,12,12,8,8,10,-2
CO,Colombia,Bogota,,,CO-DC,,01/03/2020,11,17,13,6,3,0
CO,Colombia,Bogota,,,CO-DC,,02/03/2020,5,8,3,14,18,-3
CO,Colombia,Bogota,,,CO-DC,,03/03/2020,6,12,4,20,22,-3
CO,Colombia,Bogota,,,CO-DC,,04/03/2020,2,8,7,12,15,-3
CO,Colombia,Bogota,,,CO-DC,,05/03/2020,5,9,9,9,14,-4
CO,Colombia,Bogota,,,CO-DC,,06/03/2020,4,8,10,17,21,-3
CO,Colombia,Bogota,,,CO-DC,,07/03/2020,4,5,6,4,10,0
CO,Colombia,Bogota,,,CO-DC,,08/03/2020,4,4,-2,2,2,2
CO,Colombia,Bogota,,,CO-DC,,09/03/2020,-1,3,-1,10,17,-2
CO,Colombia,Bogota,,,CO-DC,,10/03/2020,-4,1,-4,20,21,-2
CO,Colombia,Bogota,,,CO-DC,,11/03/2020,-5,3,0,13,13,-2
CO,Colombia,Bogota,,,CO-DC,,12/03/2020,-6,5,-1,4,12,-2
CO,Colombia,Bogota,,,CO-DC,,13/03/2020,-6,5,-3,9,16,-1
CO,Colombia,Bogota,,,CO-DC,,14/03/2020,-6,9,-3,-3,9,3
CO,Colombia,Bogota,,,CO-DC,,15/03/2020,-16,9,-14,-12,0,5
CO,Colombia,Bogota,,,CO-DC,,16/03/2020,-15,12,-16,-14,-3,7
CO,Colombia,Bogota,,,CO-DC,,17/03/2020,-19,20,-12,-16,-11,11
CO,Colombia,Bogota,,,CO-DC,,18/03/2020,-24,27,-15,-26,-22,12
CO,Colombia,Bogota,,,CO-DC,,19/03/2020,-22,29,-9,-26,-27,10
CO,Colombia,Bogota,,,CO-DC,,20/03/2020,-90,-76,-83,-81,-80,47
CO,Colombia,Bogota,,,CO-DC,,21/03/2020,-87,-58,-81,-80,-73,36
CO,Colombia,Bogota,,,CO-DC,,22/03/2020,-88,-67,-83,-78,-59,27
CO,Colombia,Bogota,,,CO-DC,,23/03/2020,-89,-68,-81,-86,-87,45
CO,Colombia,Bogota,,,CO-DC,,24/03/2020,-75,-43,-65,-67,-69,36
CO,Colombia,Bogota,,,CO-DC,,25/03/2020,-84,-63,-77,-80,-79,42
CO,Colombia,Bogota,,,CO-DC,,26/03/2020,-83,-59,-75,-81,-80,42
CO,Colombia,Bogota,,,CO-DC,,27/03/2020,-84,-58,-76,-81,-78,46
CO,Colombia,Bogota,,,CO-DC,,28/03/2020,-85,-62,-77,-81,-71,36
CO,Colombia,Bogota,,,CO-DC,,29/03/2020,-87,-69,-82,-82,-61,28
CO,Colombia,Bogota,,,CO-DC,,30/03/2020,-81,-56,-73,-80,-78,41
CO,Colombia,Bogota,,,CO-DC,,31/03/2020,-79,-51,-71,-78,-77,41
CO,Colombia,Bogota,,,CO-DC,,01/04/2020,-79,-51,-72,-79,-78,41
CO,Colombia,Bogota,,,CO-DC,,02/04/2020,-78,-48,-69,-79,-78,40
CO,Colombia,Bogota,,,CO-DC,,03/04/2020,-80,-49,-70,-79,-76,44
CO,Colombia,Bogota,,,CO-DC,,04/04/2020,-83,-55,-73,-79,-69,35
CO,Colombia,Bogota,,,CO-DC,,05/04/2020,-85,-64,-79,-81,-59,27
CO,Colombia,Bogota,,,CO-DC,,06/04/2020,-78,-50,-69,-78,-77,40
CO,Colombia,Bogota,,,CO-DC,,07/04/2020,-77,-44,-66,-76,-76,40
CO,Colombia,Bogota,,,CO-DC,,08/04/2020,-77,-41,-66,-77,-78,39
CO,Colombia,Bogota,,,CO-DC,,09/04/2020,-87,-62,-76,-86,-87,45
CO,Colombia,Bogota,,,CO-DC,,10/04/2020,-92,-78,-84,-90,-89,52
CO,Colombia,Bogota,,,CO-DC,,11/04/2020,-85,-61,-75,-81,-72,36
CO,Colombia,Bogota,,,CO-DC,,12/04/2020,-86,-66,-80,-81,-58,27
CO,Colombia,Bogota,,,CO-DC,,13/04/2020,-78,-55,-69,-79,-75,40
CO,Colombia,Bogota,,,CO-DC,,14/04/2020,-79,-55,-71,-79,-75,41
CO,Colombia,Bogota,,,CO-DC,,15/04/2020,-77,-48,-66,-77,-75,40
